Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
1,Luka Dončić,26,LAL,PG,23,23,36.3,10.4,22.6,.462,3.4,10.6,.324,7.0,12.0,.583,.538,9.4,11.7,.803,0.8,7.5,8.3,8.6,1.6,0.6,4.3,2.5,33.7,0.0,doncilu01
2,Shai Gilgeous-Alexander,27,OKC,PG,31,31,33.3,10.9,19.6,.556,2.1,5.0,.419,8.8,14.6,.603,.609,8.1,9.2,.880,0.5,4.3,4.8,6.4,1.5,0.7,1.9,2.0,32.0,0.0,gilgesh01
3,Tyrese Maxey,25,PHI,PG,28,28,39.7,10.5,22.8,.461,3.6,9.3,.391,6.9,13.5,.509,.541,6.1,6.8,.890,0.3,4.1,4.4,6.9,1.8,0.9,2.7,2.4,30.7,0.0,maxeyty01
4,Donovan Mitchell,29,CLE,SG,30,30,33.9,10.6,21.3,.497,4.0,10.2,.390,6.6,11.2,.594,.590,5.0,5.9,.848,0.8,3.7,4.5,5.4,1.4,0.3,3.1,2.5,30.2,0.0,mitchdo01
5,Nikola Jokić,30,DEN,C,31,31,35.1,10.6,17.6,.604,2.1,4.8,.440,8.5,12.8,.667,.665,6.5,7.6,.855,3.1,9.3,12.4,11.1,1.4,0.8,3.6,2.8,29.9,0.0,jokicni01
6,Jaylen Brown,29,BOS,SF,29,29,33.8,10.9,21.5,.506,2.1,5.6,.370,8.8,15.9,.554,.554,5.8,7.5,.779,1.2,5.1,6.3,4.8,1.1,0.5,3.7,3.1,29.7,0.0,brownja02
7,Jalen Brunson,29,NYK,PG,28,28,35.5,10.4,21.7,.480,3.0,7.9,.380,7.4,13.8,.537,.549,5.6,6.6,.844,0.6,2.6,3.3,6.4,0.8,0.1,2.2,2.5,29.5,0.0,brunsja01
8,Anthony Edwards,24,MIN,SG,25,25,35.2,9.9,20.2,.492,3.3,8.4,.397,6.6,11.8,.559,.574,6.2,7.6,.811,0.7,4.4,5.2,3.7,1.4,0.8,3.0,2.0,29.3,0.0,edwaran01
9,Giannis Antetokounmpo,31,MIL,PF,18,18,28.9,11.0,17.2,.641,0.6,1.4,.423,10.4,15.7,.661,.659,6.3,9.8,.644,3.2,6.8,10.0,5.8,0.9,0.9,3.2,2.7,28.9,0.0,antetgi01
10,Stephen Curry,37,GSW,PG,23,23,32.1,9.4,20.3,.463,4.7,12.2,.389,4.7,8.1,.572,.579,5.3,5.8,.925,0.6,3.6,4.1,4.3,1.3,0.5,3.1,2.0,28.9,0.0,curryst01
11,Lauri Markkanen,28,UTA,PF,27,27,35.4,9.3,19.6,.476,3.0,8.2,.367,6.3,11.4,.555,.553,6.2,6.9,.903,2.0,4.9,6.9,2.1,1.0,0.4,1.4,2.0,27.9,0.0,markkla01
12,Kawhi Leonard,34,LAC,SF,21,21,33.9,9.6,19.4,.495,2.4,6.5,.375,7.2,13.0,.555,.558,5.9,6.0,.976,1.1,5.4,6.5,3.4,2.1,0.6,2.1,1.6,27.5,0.0,leonaka01
13,Austin Reaves,27,LAL,SG,23,22,35.3,8.2,16.2,.507,2.7,7.4,.365,5.5,8.8,.626,.590,7.5,8.6,.873,0.7,4.5,5.2,6.3,1.0,0.2,3.3,2.3,26.6,0.0,reaveau01
